seed 10,seed 20,seed 30,seed 40,seed 50,seed 60,seed 70,seed 80
3162.36474609375,3170.17138671875,3229.39404296875,3275.317138671875,3282.833251953125,1374.63671875,3517.319091796875,3425.74169921875
1463.511474609375,3245.89599609375,3267.611328125,3493.4453125,3353.943359375,2744.34423828125,1283.221435546875,286.068603515625
3008.544677734375,1059.74169921875,1027.552490234375,3321.70654296875,3273.5029296875,1136.9208984375,1345.9654541015625,2900.27001953125
2622.15869140625,2850.54345703125,3076.495849609375,1034.7606201171875,284.32135009765625,3390.76611328125,298.56683349609375,3363.279296875
1146.6607666015625,2899.063720703125,232.5121612548828,1055.489501953125,2992.778076171875,3042.779541015625,555.0221557617188,3263.47802734375
649.8140869140625,2987.48876953125,3143.072509765625,2976.04052734375,3324.521484375,368.7679138183594,2806.235107421875,2882.2734375
3025.985107421875,1792.6953125,2585.130126953125,3241.149658203125,862.9766845703125,2540.90966796875,3521.126953125,3459.915283203125
2958.28515625,247.8564453125,3021.351806640625,3116.05126953125,2211.6259765625,3044.85205078125,3298.220703125,895.4811401367188
3405.584716796875,3254.76611328125,1025.415283203125,3105.7568359375,3134.913818359375,434.58221435546875,217.4309539794922,3379.01708984375
2728.14111328125,3248.390625,3264.071044921875,3156.5859375,3012.5390625,3332.25537109375,1259.621337890625,3272.63427734375
