seed 10,seed 20,seed 30,seed 40,seed 50,seed 60,seed 70,seed 80
2523.00439453125,2186.30126953125,2551.19384765625,1808.7349853515625,2492.99853515625,2383.771240234375,2118.28173828125,1813.9306640625
1821.029296875,2114.228759765625,1988.478271484375,1819.1455078125,1470.351806640625,1922.016845703125,963.9553833007812,1816.6588134765625
2079.19921875,1882.488525390625,1799.832763671875,2214.27978515625,2319.5888671875,1987.6611328125,2863.26318359375,1796.9547119140625
1995.5537109375,2671.90283203125,2400.80322265625,2852.926025390625,2005.513671875,2048.875244140625,1385.962646484375,2125.138916015625
1772.0361328125,2721.201904296875,1792.7330322265625,1640.4788818359375,1511.72607421875,2909.755615234375,2446.3603515625,1496.3505859375
2575.7470703125,1722.322021484375,1236.395751953125,2492.12109375,2514.404541015625,1825.5980224609375,2752.302001953125,2123.74951171875
1488.8812255859375,1919.8040771484375,1592.2320556640625,2070.03857421875,2173.69677734375,1873.9869384765625,1663.5491943359375,1637.7557373046875
2135.05224609375,1309.2130126953125,3010.24072265625,1894.633544921875,1898.0003662109375,1912.396240234375,1913.5865478515625,2099.6201171875
2634.81103515625,2003.7005615234375,2532.987548828125,1607.866943359375,2646.85791015625,2336.082763671875,2523.191162109375,2472.22119140625
1709.932861328125,1860.521728515625,2316.87646484375,2817.368896484375,1890.224365234375,1562.29345703125,1557.856201171875,1831.7396240234375
