param scale,primitive 0
0.5,281.2357177734375
0.6,3241.980712890625
0.7,3359.514892578125
0.8,1130.547607421875
0.9,1912.8736572265625
1.0,3517.51123046875
1.1,3533.02099609375
1.2,3543.637451171875
1.3,3563.49951171875
1.4,3094.8115234375
1.5,1585.3626708984375
1.6,1326.541748046875
1.7,1215.658447265625
1.8,1128.81591796875
1.9,1045.708251953125
2.0,963.6257934570312
2.1,880.2918090820312
2.2,840.8180541992188
2.3,790.4794311523438
2.4,746.877197265625
