noise scale,primitive 0
0.0,1573.712646484375
0.1,1431.9185791015625
0.2,1531.054931640625
0.3,1322.931640625
0.4,1121.8721923828125
0.5,1010.3333740234375
0.6,800.4876708984375
0.7,931.1051635742188
0.8,691.5371704101562
0.9,411.6717834472656
1.0,457.0810546875
1.1,506.7312927246094
1.2,411.91998291015625
1.3,281.19390869140625
1.4,273.99176025390625
1.5,178.4077911376953
