noise scale,primitive 0
0.0,-1.632277939160888
0.1,-2.1272935400058843
0.2,-1.9910097907203705
0.3,-2.641474510308263
0.4,-3.3279363755220066
0.5,-1.9793278178305727
0.6,-2.1655014980285707
0.7,-2.3634246169816038
0.8,-2.8138136859443454
0.9,-2.320348854283858
1.0,-2.689771951371165
