param scale,primitive 0
0.5,1770.5345458984375
0.6,1906.1051025390625
0.7,1983.6138916015625
0.8,2415.98876953125
0.9,2243.83740234375
1.0,2039.1314697265625
1.1,2244.385986328125
1.2,2113.435546875
1.3,2261.737548828125
1.4,2537.97705078125
1.5,2199.31396484375
1.6,2452.392333984375
1.7,2428.04345703125
1.8,2253.50439453125
1.9,2216.24267578125
2.0,2437.19384765625
2.1,2403.834228515625
2.2,2264.7197265625
2.3,2400.43798828125
2.4,2349.27734375
