param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,417.50775146484375,254.49417114257812,2573.778076171875,231.9610595703125,253.8292694091797,276.9798889160156,248.8483123779297,281.06353759765625,299.9704284667969,273.657470703125
0.6,477.85491943359375,277.2195129394531,2703.244140625,247.214111328125,269.77593994140625,296.5827331542969,267.35308837890625,311.9631652832031,306.7104797363281,1180.1719970703125
0.7,583.1188354492188,663.9808349609375,2817.61865234375,420.75054931640625,284.4798278808594,2229.69873046875,285.4499206542969,571.2387084960938,313.48480224609375,2344.970947265625
0.8,1489.95947265625,2311.63720703125,2886.362060546875,2008.379150390625,299.8436279296875,2940.04248046875,302.46649169921875,1682.656005859375,319.4494323730469,2362.07763671875
0.9,1634.8756103515625,2331.96044921875,2886.531005859375,1982.0120849609375,2661.354736328125,2992.03271484375,2954.635009765625,3517.88818359375,326.30548095703125,1615.081298828125
1.0,1683.525634765625,2236.4169921875,2897.01318359375,2018.9476318359375,2698.9677734375,3090.31005859375,3187.15185546875,3451.871826171875,332.58184814453125,975.7720947265625
1.1,2499.05712890625,1129.64013671875,2916.599609375,2106.423828125,2516.05078125,3190.537109375,3300.541015625,1688.3984375,338.17596435546875,967.00146484375
1.2,2536.09033203125,1135.0584716796875,2952.209716796875,2192.5673828125,2071.893310546875,3285.623779296875,3370.81640625,1114.754150390625,344.6663818359375,899.72705078125
1.3,2672.125244140625,992.5836181640625,2933.42724609375,1422.8125,2146.48583984375,3375.844482421875,3407.740966796875,999.8984375,380.28875732421875,785.2258911132812
1.4,2853.5869140625,968.3780517578125,2961.667236328125,1111.324462890625,2373.24365234375,3401.359375,3403.481689453125,828.4147338867188,617.8357543945312,724.7403564453125
1.5,2707.08935546875,685.8675537109375,2907.13818359375,1012.6412963867188,1384.1251220703125,3420.38037109375,3397.548095703125,756.451416015625,835.7152099609375,711.4703979492188
1.6,1878.3599853515625,613.9151611328125,3045.431640625,976.0441284179688,1644.1881103515625,3431.48193359375,3387.91943359375,737.8170166015625,909.1940307617188,682.4957275390625
1.7,889.8733520507812,574.0945434570312,2969.279296875,888.2496948242188,2556.26904296875,3443.166748046875,3410.839111328125,723.8804931640625,843.0012817382812,564.3355102539062
1.8,541.8201904296875,537.7794799804688,3044.123291015625,788.6879272460938,2701.08837890625,3451.936767578125,3342.31103515625,693.341552734375,691.9321899414062,450.1820373535156
1.9,499.981201171875,511.7289123535156,2839.967041015625,744.1724243164062,2487.86669921875,3461.660888671875,3124.4990234375,530.3576049804688,630.7728271484375,442.79827880859375
2.0,457.5362854003906,494.59844970703125,2744.690185546875,721.1393432617188,2093.56689453125,1193.3590087890625,1381.297119140625,496.2161560058594,607.7579956054688,438.8252868652344
2.1,441.33624267578125,475.2657775878906,2590.85302734375,701.124267578125,1691.3277587890625,968.0314331054688,1074.905517578125,479.482421875,582.0701293945312,437.01141357421875
2.2,436.80047607421875,462.7982482910156,1921.0013427734375,686.67822265625,1449.398193359375,925.23681640625,1040.0413818359375,465.333740234375,559.8963623046875,436.22491455078125
2.3,433.41265869140625,456.16583251953125,1453.719482421875,665.3065795898438,1370.695556640625,866.4918212890625,1005.3319091796875,457.437744140625,537.4781494140625,435.2713928222656
2.4,433.1327209472656,450.244384765625,1192.185791015625,636.6060791015625,888.7634887695312,804.4230346679688,997.3896484375,454.2664489746094,514.1295166015625,434.2820739746094
