seed 10,seed 20,seed 30,seed 40,seed 50,seed 60,seed 70,seed 80
2314.228255530207,1970.457263291024,2161.1856793152847,1035.3864289365881,1981.7435518817674,787.5903774980573,872.1159917460225,2384.499076222593
1458.252811033565,2278.9657217315203,2266.399053694854,1531.9629831984926,1863.8017278525172,1245.7178906413628,1461.3089489550935,1806.9858865187184
1985.668255722673,2172.969911763818,1508.2406699145222,1695.937109779333,1556.0917680240268,2061.070246937357,1907.6451085562858,2231.042330281648
1783.2489240028585,2397.2019738685844,1867.8833020017173,1232.6132940115963,1134.1116398138097,1846.6165916232294,2272.880907533362,2244.3409634362806
1454.13770263594,2240.314817213262,1904.0847774818612,1742.1816416978108,1687.1089134403119,2616.376254299934,2156.6610180426333,2173.641298340074
2026.8577745164853,1639.7391332981038,1934.7902678980602,1757.0066536148297,1872.195493872116,2580.532498778244,1351.1960852175696,2506.3001171470223
2134.0397413018113,1759.3698891878532,2188.215810335556,1695.155997311796,1794.6155506354062,1839.9446299607575,1717.4743934998216,1578.5513164460458
1794.1938404451516,1770.4344694210236,2534.7507737428377,1215.1726462854303,2012.323889610952,1952.1759359359835,2392.238452505343,885.1377781008421
1771.373818985654,1887.8569117737181,2112.3912664768613,2412.175222189571,1620.7963704564595,1925.674970930831,1887.4203163722916,2150.273569564134
1950.6648499117036,1931.8816426540902,2188.9468163398774,1730.2881115089192,1384.1050733128488,1191.2292714126738,2837.4353114243413,1518.5646316179989
