seed 10,seed 20,seed 30,seed 40,seed 50,seed 60,seed 70,seed 80
3400.6794475522142,3195.64519731389,3229.288391770834,3325.716884592583,294.56982593969855,2974.448939087372,3496.1819574066785,3379.1054766818706
3112.2394450432494,1227.291783867818,3517.2972879651584,270.77572768566597,1249.140964405404,1995.5549241777987,3277.91236089897,2944.212260385572
316.0155104277044,3042.7797289610817,3176.851552642743,2812.019649415054,2891.337616169618,3041.495435677968,2598.5031873153116,1213.646929545844
2893.2869031336686,2087.653458016843,3334.594562074379,1594.0407502000712,2014.3235568717982,973.3621477715823,3499.9283994702214,2924.5153193397173
3221.4876611422915,1054.1907656090775,1188.9670706618103,2421.0265040972454,2677.5918715720913,3082.2150075498466,607.6617345938979,2373.190941584727
618.3055227020459,2884.3480979998444,3020.694549089703,2421.3717344246666,3082.3602458546184,891.3155941473229,3509.234639617733,2943.329277800513
3373.3845161215054,2138.341636025518,1997.8305087126757,1469.3648494422966,3181.199185090657,3216.295027658818,2946.961412612261,3147.863795220515
3127.642650721956,3326.7108761347654,1198.4331114134707,3178.432413137343,3383.9514528529403,2139.229067176896,2669.5352233239805,3000.3889809001084
224.27806898435753,3074.128638557744,3520.6084606523673,1037.3224190645988,330.993755047638,2589.055668429012,270.23631821493564,3018.8112105122027
2566.509297435567,1687.4014250330201,964.5902082970622,292.31797111304394,967.505391814493,2936.714056411506,1816.856747423648,2407.113764201305
