param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,88.27549743652344,1431.597900390625,2003.677001953125,342.4565734863281,1052.851318359375,2016.3880615234375,1696.999267578125,923.5152587890625,557.9962768554688,384.244873046875
0.6,163.71995544433594,1963.4459228515625,2577.783203125,341.0171813964844,945.5855712890625,2043.844970703125,1548.0732421875,818.3538818359375,527.8699951171875,581.9815673828125
0.7,751.137451171875,1736.060546875,2687.080322265625,343.76312255859375,1030.260986328125,2079.615478515625,1437.80126953125,1816.046875,516.3106689453125,833.2608642578125
0.8,552.6290283203125,1899.5185546875,2522.66943359375,352.718994140625,1001.7922973632812,2106.48291015625,1248.8046875,1827.4437255859375,505.07952880859375,793.7063598632812
0.9,952.7018432617188,1982.283447265625,2578.77587890625,350.8581848144531,812.5172729492188,2145.880859375,1431.8624267578125,500.3580017089844,503.11968994140625,743.124755859375
1.0,1463.4329833984375,2044.573486328125,2362.25439453125,345.5005187988281,984.7606201171875,2165.927734375,1395.63818359375,424.12030029296875,498.9026794433594,921.6525268554688
1.1,2183.6240234375,1988.6373291015625,2415.13330078125,351.72772216796875,781.9697265625,2191.42919921875,1207.30126953125,414.16302490234375,490.03643798828125,731.9243774414062
1.2,2148.567138671875,2010.2847900390625,2547.9189453125,349.9078674316406,806.0272216796875,2222.78466796875,862.5008544921875,410.1348571777344,486.33453369140625,834.28076171875
1.3,2202.63671875,2112.40283203125,2627.2626953125,349.94769287109375,820.8125,2250.216064453125,900.2659301757812,411.49188232421875,484.630859375,749.2384033203125
1.4,2259.37548828125,1926.547607421875,1944.281982421875,354.3407287597656,627.1436157226562,2120.48388671875,918.4320068359375,410.40118408203125,473.58282470703125,767.8565673828125
1.5,2278.75048828125,2011.91015625,1207.1619873046875,355.9083557128906,523.8753662109375,1847.736328125,1031.9462890625,409.59954833984375,468.7021484375,765.4849243164062
1.6,2118.076904296875,2079.57421875,1091.1793212890625,354.5426330566406,568.5786743164062,1934.836669921875,872.0494995117188,410.3172912597656,458.0887145996094,654.4502563476562
1.7,2294.47705078125,1654.012939453125,982.1868896484375,354.127197265625,498.853515625,2078.40087890625,809.237060546875,411.92633056640625,454.09063720703125,607.0821533203125
1.8,2228.49072265625,1421.5679931640625,1197.312255859375,355.0409851074219,493.31024169921875,2151.02880859375,889.08544921875,411.4676818847656,447.2560119628906,618.2749633789062
1.9,2286.27392578125,889.68505859375,1279.3551025390625,353.30523681640625,518.890625,2032.998046875,1119.63916015625,411.04248046875,442.9122009277344,604.13037109375
2.0,2112.616943359375,1068.93505859375,1313.725341796875,350.9820251464844,644.7861328125,2130.717529296875,1215.177001953125,409.65423583984375,436.3407287597656,554.0966186523438
2.1,2212.776611328125,754.363525390625,1277.700927734375,348.893310546875,594.3226318359375,1898.4095458984375,951.9339599609375,409.3558044433594,434.2567443847656,532.7061767578125
2.2,2197.2373046875,621.3961791992188,1290.0020751953125,349.7292175292969,638.0821533203125,2221.303955078125,664.8416748046875,408.9051513671875,431.5796813964844,568.2904052734375
2.3,2190.213623046875,606.5670166015625,1262.3626708984375,348.5514831542969,625.0186157226562,2174.30322265625,528.029296875,405.29864501953125,429.07635498046875,549.3189697265625
2.4,2194.448974609375,582.6890869140625,1260.383056640625,344.88995361328125,622.5820922851562,2046.4378662109375,507.6756286621094,841.9442138671875,427.167724609375,542.705078125
