,Walker
dvd,"[69.5424394607544, 0.41695533494984344]"
ensemble,"[71.52257919311523, 0.9573867669852522]"
multi,"[69.2818546295166, 0.8549781568521393]"
smerl_ppo,"[70.30266571044922, 0.5295177562633451]"
