,Walker
dvd,"[68.18190097808838, 0.6254384483677967]"
ensemble,"[70.83673286437988, 0.9953654901326947]"
multi,"[68.84883785247803, 0.6775204906004936]"
smerl_ppo,"[69.32838439941406, 0.9539377946276916]"
