,Hopper,Walker,Ant
ensemble,"[66.06528329849243, 1.6941920886358666]","[78.35635948181152, 0.8301079019099377]","[73.01343154907227, 0.34590191226674044]"
dvd,"[59.078120708465576, 2.1988379310766932]","[76.23814392089844, 0.3805704876580772]","[71.58969116210938, 0.4919551852824587]"
smerl_ppo,"[63.17604112625122, 2.3875623041573526]","[77.10199165344238, 0.4030833428303208]","[71.47428512573242, 0.5270568560509193]"
multi,"[57.87935447692871, 2.4638978480718325]","[76.45649719238281, 0.4201899378275086]","[71.69466018676758, 0.3968684518213575]"
