noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,3415.71923828125,2696.421875,2574.296875,1386.201904296875,2528.983642578125,2873.26416015625,2406.04052734375,749.0681762695312,2895.87158203125,2976.210205078125
0.1,3240.209716796875,2687.87890625,2589.72412109375,956.4619140625,2353.600341796875,2827.586669921875,2193.11669921875,803.6820068359375,2792.93798828125,2860.12939453125
0.2,2782.78076171875,2623.5986328125,2668.331298828125,967.3487548828125,2536.41162109375,2688.197998046875,2251.90380859375,682.4046020507812,2723.27587890625,2217.1220703125
0.3,2941.017822265625,2144.24755859375,2587.012939453125,1117.552490234375,2560.007568359375,2617.397705078125,2055.83251953125,619.2227783203125,2887.75341796875,1763.807861328125
0.4,2608.001220703125,1633.565185546875,2119.666015625,833.9752197265625,2558.37841796875,2105.003173828125,2167.320068359375,746.4066162109375,2328.8896484375,1065.999267578125
0.5,2099.430419921875,1154.5704345703125,2089.409423828125,881.0888671875,2088.19873046875,1051.1640625,1575.7142333984375,668.7716064453125,1902.196533203125,904.6145629882812
0.6,1954.121826171875,499.01373291015625,2603.86181640625,630.5736083984375,2063.052734375,1010.3220825195312,1405.283935546875,691.79296875,1332.1295166015625,439.64300537109375
0.7,1793.9033203125,580.2640380859375,2006.538330078125,570.7695922851562,1961.4486083984375,497.61029052734375,1075.939453125,641.3992919921875,789.0533447265625,500.78375244140625
0.8,1316.442138671875,450.31988525390625,1611.822998046875,653.9453125,1788.8079833984375,521.1641235351562,1133.2349853515625,704.7797241210938,746.9243774414062,421.06939697265625
0.9,917.3193359375,416.682861328125,1857.779052734375,684.4024658203125,1079.157958984375,451.6424255371094,677.8953857421875,623.7813720703125,532.5906982421875,421.8789978027344
1.0,716.095458984375,438.476318359375,1449.844482421875,447.2129821777344,974.7503051757812,392.56268310546875,719.1366577148438,564.1700439453125,422.1297302246094,389.8612976074219
1.1,570.3302001953125,413.9447326660156,1208.1890869140625,459.60943603515625,914.4347534179688,352.6629638671875,654.9796142578125,507.58245849609375,357.1313171386719,339.80450439453125
1.2,553.6181030273438,378.23101806640625,948.7913208007812,538.79248046875,961.65576171875,386.54180908203125,561.2384643554688,498.80120849609375,401.03851318359375,294.1869201660156
1.3,430.593017578125,250.675048828125,912.6466064453125,377.44073486328125,603.2369384765625,404.84027099609375,429.58673095703125,556.3665771484375,354.6459655761719,272.474365234375
1.4,474.9486389160156,399.11004638671875,772.1476440429688,370.1661682128906,535.1708984375,359.40411376953125,482.213623046875,463.27490234375,273.8135986328125,208.5479278564453
1.5,454.9464416503906,255.80795288085938,585.8820190429688,369.44696044921875,596.90234375,369.6557312011719,440.1144104003906,383.1221923828125,356.3739013671875,185.95822143554688
