param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,2514.09033203125,1004.7962036132812,1728.287353515625,2097.159912109375,1056.2218017578125,2798.04638671875,797.087646484375,2354.168212890625,2114.2646484375,2062.38232421875
0.6,2553.72216796875,975.4891357421875,1602.327392578125,2174.885498046875,1171.550048828125,2794.01611328125,780.634765625,2335.042724609375,2093.00927734375,2007.5787353515625
0.7,2721.71826171875,994.8048706054688,1610.5462646484375,2158.332763671875,1161.55615234375,2789.832763671875,774.9764404296875,2384.83154296875,2201.75634765625,2028.8310546875
0.8,2734.060546875,1014.3115234375,1552.9925537109375,2071.798828125,1168.40625,2835.97998046875,769.1629638671875,2400.68505859375,2205.259521484375,2113.506591796875
0.9,2724.660400390625,971.5084228515625,1332.9549560546875,2113.367431640625,1265.4327392578125,2697.501220703125,805.0914916992188,2382.322021484375,2048.82666015625,2112.90087890625
1.0,2612.79443359375,993.2267456054688,1447.486328125,2076.19140625,1583.50634765625,2747.5625,793.4005126953125,2376.53076171875,2145.067138671875,2141.77685546875
1.1,2588.724609375,980.3723754882812,1468.6112060546875,1950.525146484375,994.4522705078125,2622.02099609375,829.7076416015625,2192.59716796875,2117.10400390625,2126.756103515625
1.2,2382.4404296875,1020.5718994140625,1478.994873046875,1983.194091796875,1043.390380859375,2493.140625,792.89013671875,2064.37158203125,1906.742919921875,1914.2109375
1.3,2157.63671875,936.5030517578125,1490.2926025390625,1855.758056640625,730.0087280273438,2189.927978515625,814.519775390625,2048.557861328125,1708.306396484375,1714.2330322265625
1.4,1789.454345703125,953.3561401367188,1121.298828125,1563.235595703125,1054.475341796875,2004.0679931640625,800.1947021484375,1955.562744140625,1686.030029296875,1778.1119384765625
1.5,1628.02685546875,920.8884887695312,910.4970703125,1560.9197998046875,795.738037109375,1394.454833984375,830.4528198242188,1764.4849853515625,1438.604736328125,1806.7822265625
1.6,1446.5496826171875,945.84716796875,877.2863159179688,1396.837646484375,730.912841796875,1613.322021484375,775.2562255859375,1756.9176025390625,1248.766357421875,1740.7366943359375
1.7,1203.23291015625,932.3853759765625,993.83447265625,1615.7781982421875,690.4324951171875,940.8995361328125,815.8941040039062,1642.6605224609375,1232.1024169921875,1335.29931640625
1.8,1516.4439697265625,909.4779052734375,1204.5762939453125,1307.1280517578125,693.3339233398438,1461.5955810546875,793.4663696289062,1478.53955078125,1480.051025390625,1448.8363037109375
1.9,1076.462646484375,987.5484619140625,1013.4797973632812,1596.5037841796875,722.947265625,1085.9847412109375,817.1795654296875,1378.76611328125,1206.092529296875,1546.167724609375
2.0,1244.6033935546875,959.056640625,1015.8430786132812,1542.0909423828125,666.7627563476562,776.3101806640625,822.5325927734375,1441.391357421875,1408.8148193359375,1613.999755859375
2.1,1106.0040283203125,969.1766357421875,933.1416015625,1295.6240234375,602.5855102539062,818.2216796875,806.3994750976562,1362.714111328125,1057.485107421875,1496.411376953125
2.2,923.6666259765625,903.9788208007812,861.9141845703125,1257.85595703125,649.4519653320312,840.4402465820312,804.952880859375,1192.106201171875,1133.8455810546875,1504.8326416015625
2.3,1432.831787109375,920.9773559570312,974.9873046875,1067.657470703125,725.3139038085938,743.4644775390625,822.8351440429688,1103.423583984375,1100.78515625,1442.516845703125
2.4,1012.76904296875,900.79736328125,968.5491333007812,1141.525634765625,549.184326171875,705.6531982421875,825.0125122070312,907.9894409179688,1119.0526123046875,1458.2738037109375
