seed 10,seed 20,seed 30,seed 40,seed 50,seed 60,seed 70,seed 80
596.5909262778656,969.7423719342491,628.04403554413,1329.327329536744,1121.0576647530975,2297.2716501077202,2282.5327701765955,2146.3238896869802
1032.9745756681652,1896.370887919122,1479.8836679706321,1794.3432148877773,2109.970011187124,797.9903287429703,2125.2971748275154,719.5552247408086
729.2271197273857,1929.056718898928,1690.0070986167286,1774.6918962093641,1565.9864122364029,782.9858570211301,2336.0478512778545,620.2598372612503
335.8290902616837,2142.2367576587144,741.7085179593483,1563.867995019835,1027.3170282151286,1803.2752481404782,1759.5134798108993,1718.1220664176155
800.1896205574319,1435.9028735378004,2190.079186777568,1181.630184663521,1839.3990400216082,371.8440615342213,1745.611765870637,1425.6995393666448
1604.6813646680769,1866.2000336257242,1513.8092924591588,310.5823102318638,1802.1270916817373,2592.1080735084024,840.9981117761802,1167.2240590654835
917.5035332338782,1903.7719702903184,638.8901229225652,632.4942393799897,2070.104164770943,726.3354176998103,2311.7299346714394,1550.2791488382497
665.7133896808776,1151.6562889373436,1670.6730158287082,1658.952842526123,984.7028563369895,2165.07545611161,1814.287834317369,1283.170591234168
1153.9813975628317,334.9121860872113,1197.8858641503323,355.1942439090203,1451.9456829804633,1315.7867243954693,1949.673642572916,1442.2856297543453
1292.1014662814302,1520.2457119427972,2401.623045780606,755.352761321807,2021.5934982546469,1661.2703943439444,2759.825073308137,1935.5529565423144
