,embedding,model
0,"[4.672769848513896, 11.56824180142143]",0
1,"[-9.329498042883154, -10.58790440005249]",0
2,"[-8.802493946179652, -11.181284653252535]",0
3,"[-3.0643026520847214, -6.461640062971068]",0
4,"[-3.8244797721246115, -4.99822001078211]",0
5,"[6.240261606906222, 11.873977297077904]",0
6,"[1.6198197035958422, 7.844395467041315]",0
7,"[-7.809757890959274, -3.670996287843841]",0
8,"[3.0888669258846675, 5.665888292159676]",0
9,"[-5.440045300902273, 5.141203288032115]",0
10,"[11.976227921522405, 5.848617825051956]",0
11,"[10.903310842687498, 6.016430677578167]",0
12,"[10.175749731368734, 5.010910441956203]",0
13,"[-3.3577089533934608, 0.2967488138717822]",0
14,"[8.305494823599643, 3.996012828634363]",0
15,"[10.647745579468872, 7.671192826894228]",0
16,"[2.089518214404468, -1.3810055990569623]",0
17,"[7.151028365071793, 12.5342295030755]",0
18,"[2.2358636975099264, -1.60830797668902]",0
19,"[7.501200729685201, 12.11525069848807]",0
20,"[0.8815457327311629, 1.3015759263376505]",0
21,"[10.556986882775867, 6.772453877117592]",0
22,"[4.857563203656222, 5.629329418544342]",0
23,"[11.173984597689078, 5.708934050174936]",0
24,"[1.432741003751913, 1.2998347867119864]",0
25,"[11.10564935824209, 5.170892329324593]",0
26,"[10.345094324391793, 2.6643642335278117]",0
27,"[9.919571915105161, 2.2578237162679677]",0
28,"[10.378663147629428, 2.8902850350017633]",0
29,"[9.707198236160378, 2.5115444846695]",0
30,"[9.824112225302805, 3.075832972518818]",0
31,"[9.43047000103553, 3.1292660445362084]",0
32,"[9.087583081322572, 3.0790822668709357]",0
33,"[8.726235142542755, 2.8993775817380496]",0
34,"[8.480607244034948, 3.0809551494815492]",0
35,"[-6.513255661033202, -7.728506221461036]",0
36,"[-6.686271715669335, -7.8460472289481435]",0
37,"[-5.519378936891755, -8.711106989720664]",0
38,"[7.859904683680411, -3.3331071139258563]",0
39,"[-9.228291768464663, 3.5637071642958027]",0
40,"[-10.078166883758806, 2.0718742678864164]",0
41,"[-9.182084447846151, -5.8011221182743]",0
42,"[8.100232133559294, -3.386168532854898]",0
43,"[5.79415500024219, 11.529299150666157]",0
44,"[-10.331344607008859, -3.816515335806053]",0
45,"[-12.401730518060685, 4.4655508256165115]",0
46,"[6.589628011664957, 8.703079680034143]",0
47,"[11.504384600140789, 4.392254917007885]",0
48,"[-6.423776495289552, 1.942216080601782]",0
49,"[-12.481757393907266, 4.610430368934786]",0
50,"[7.385640806021372, -4.248685434241328]",1
51,"[-2.1880968879719966, -12.709476819511954]",1
52,"[2.9852168028941564, -5.049950666520389]",1
53,"[2.3166945376197403, 11.459929210890685]",1
54,"[-5.074296056602866, -11.730385302839395]",1
55,"[0.9108713999432569, -11.197713096015042]",1
56,"[4.255355099123851, 10.986062741251082]",1
57,"[-4.023199027839386, -11.56278626682423]",1
58,"[1.0064730130022141, 8.40769181224185]",1
