,embedding,model
127,"[18.671626815140137, 0.9368171199985507]",2
128,"[-7.967131785149006, 4.5912157341193405]",2
129,"[19.506178217043907, 2.378349436497255]",2
130,"[-2.877561579498953, 3.891947517004235]",2
131,"[-6.760974267605528, 5.367163677741611]",2
132,"[-11.712864816151292, 6.904668955707661]",2
133,"[12.825408302150196, 0.16715015384992768]",2
134,"[11.814122189062957, 0.7189824511678546]",2
135,"[-8.449134166830047, 9.057920042260967]",2
136,"[2.5527409777402656, 0.36232291558843904]",2
137,"[-8.737913973474585, 9.258068151824473]",2
138,"[0.9939581641988544, 0.3078011571999787]",2
139,"[19.5821053281093, 2.5541151168836747]",2
140,"[-3.029489173492356, 3.7817301699432684]",2
141,"[-10.43784993619564, 7.161068507359196]",2
142,"[17.848496022616885, -0.006421270445134698]",2
143,"[-0.28658822851273535, 3.597638970272225]",2
144,"[-8.860880806502315, 6.906757482711527]",2
145,"[19.42505809061621, 1.0844983066137093]",2
146,"[10.474816082121112, 1.109796491414975]",2
147,"[-3.0944719921032298, 3.727134138616041]",2
148,"[-11.068230314469655, 6.430351889963239]",2
149,"[18.48917304511777, 1.9591801483742894]",2
150,"[8.652267435358446, 6.3105045306451935]",3
151,"[-4.092664170161856, -10.047432608793525]",3
152,"[-8.061052606105791, 7.378000735371054]",3
153,"[-1.1109748568437061, 0.6292223672018293]",3
154,"[-2.667830504120448, 4.533939275509543]",3
155,"[-0.5804629309909971, 9.729208999415636]",3
156,"[3.0573191779732514, -6.337367644547533]",3
157,"[0.22629466159852982, 9.173455039952835]",3
158,"[-3.835696812687674, 6.180146205483501]",3
159,"[0.8882757401639079, 10.423346723655877]",3
160,"[7.625539568122661, 7.283763567589824]",3
161,"[-6.987981286045317, -9.716803930200706]",3
162,"[-5.510552684620703, -10.403096687901074]",3
163,"[-0.019152370933900726, 8.911850633680716]",3
164,"[8.078893608124552, 6.412953072594343]",3
165,"[-7.820410276546744, -7.512003538009299]",3
166,"[-4.203303186976205, -10.526182342629323]",3
167,"[-6.213204539993094, 6.832123026105949]",3
168,"[3.0490012197486527, -5.445618818049925]",3
169,"[-0.47095332086301084, 10.169582538846534]",3
170,"[5.791196646030256, -0.906763561182505]",3
171,"[8.500139546381368, 7.108096143733459]",3
172,"[-6.414109198479521, -10.12299953273594]",3
173,"[9.801442256562861, 5.808268042451336]",3
174,"[-7.19213089036217, -8.108023102289277]",3
175,"[-5.3447566494959515, -9.558828779158615]",3
176,"[-7.612464915486784, -8.351878132366208]",3
177,"[-6.857250017775238, -10.216089300530811]",3
178,"[2.1667787078768606, -4.8684094992425715]",3
179,"[-2.8829138470842426, 9.565405590974096]",3
180,"[-3.1302616102889913, 6.176102537232623]",3
181,"[0.4486275231808068, 4.078893151414066]",3
182,"[-1.4321765188599453, 9.334809730977778]",3
183,"[9.577901824974973, 1.5835266069556444]",3
184,"[-6.118377129996632, -7.770244863025716]",3
185,"[-6.421270983552764, -8.374615582579793]",3
186,"[-7.294506465909692, -7.679117552454489]",3
187,"[-5.470358216088834, -9.11416419252524]",3
