,embedding,model
0,"[19.346981916852855, -12.797740768424447]",0
1,"[2.4465308412638107, -20.770656730432204]",0
2,"[20.29244524975379, 0.6623990961332595]",0
3,"[20.117724523732452, -0.3709751323496456]",0
4,"[-15.335954131449599, -11.10210943725648]",0
5,"[7.58501257500957, -3.770315020841205]",0
6,"[23.98468904786527, 23.131055013207206]",0
7,"[-11.161016846144712, -26.534641651774713]",0
8,"[-16.975667059866048, 28.381720153903593]",0
9,"[-19.39195057729401, -23.732490828422325]",0
10,"[-31.08280717152671, -29.55820244428042]",0
11,"[-13.630359125700336, -29.787000092135028]",0
12,"[-12.743861682532339, -28.06942291796869]",0
13,"[8.109499953161817, -9.723463489073863]",0
14,"[-30.56456696789697, -7.194587111015727]",0
15,"[-17.192388846479503, -19.25461869905472]",0
16,"[10.908782413644133, 4.027146870756293]",0
17,"[16.56778585969393, 33.71716418722118]",0
18,"[-4.328602645653239, -42.09198875054536]",0
19,"[-15.313679804827453, 10.097909041931626]",0
20,"[-12.482509101353111, 32.9333570005378]",0
21,"[-17.138735891565066, -28.247943007250257]",0
22,"[-4.656085467702006, -16.00344536429405]",0
23,"[10.094430072228244, -10.112557175969938]",0
24,"[10.409875996400778, -10.106112194753486]",0
25,"[-33.52367076070322, 0.9291118732754512]",0
26,"[9.923391769967692, -0.9760329231351117]",0
27,"[22.433984392668144, 25.00753183633703]",0
28,"[-7.297650407345442, 32.27861049036139]",0
29,"[-23.77605431751897, -30.486422245820567]",0
30,"[-11.28660787162977, 7.959753961050765]",0
31,"[-9.323129751820051, 23.77980971355801]",0
32,"[9.269378517990422, 12.295741752314843]",0
33,"[16.96829493140015, 33.691062921290396]",0
34,"[-4.49734775761116, -41.98254478507369]",0
35,"[37.20712739368738, 14.97756360013108]",0
36,"[-19.53237574082495, -23.226536698455686]",0
37,"[7.704052139680703, 9.13651725126638]",0
38,"[-4.363270283252369, 25.04949231245505]",0
39,"[-20.02897356873857, 31.115979226539128]",0
40,"[0.9464068188759879, -39.061384360905144]",0
41,"[-3.4582360492958153, -14.295498821038656]",0
42,"[14.454723680829602, -29.959058972608407]",0
43,"[-4.127214858964957, -14.005636689583262]",0
44,"[11.824102944656708, -9.814120195971398]",0
45,"[9.058550771609898, -35.78246831444793]",0
46,"[-22.0817379287691, 31.338290995505723]",0
47,"[13.13365527966771, -37.96302924380228]",0
48,"[-19.789401064717676, 30.992691453384428]",0
49,"[-4.239188817663806, -40.60452282114964]",0
50,"[2.9417321933881153, 2.9358076574817287]",0
51,"[8.916020406086428, -28.669944296236096]",0
52,"[12.742683889650671, -27.895478224381407]",0
53,"[-10.383038703386886, 15.72098409921014]",0
54,"[0.6865763592198054, 26.046304624193137]",0
55,"[8.703121071085349, -38.61575169778682]",0
56,"[-1.9658872841227746, 0.8083308957760087]",0
57,"[23.590370773176033, 6.301275645957263]",0
58,"[-12.775592613710014, 31.391373599397653]",0
59,"[31.119463618749705, 6.7276629307740015]",0
60,"[6.4598628734589365, -34.30625950426872]",0
61,"[9.587765977235252, 17.818066981813384]",0
62,"[16.29107426926624, 31.488062700516007]",0
63,"[8.237797985802478, -36.103254836860124]",0
64,"[22.657803436484613, 30.518088227225086]",0
65,"[27.01599117190939, 27.55296910773434]",0
66,"[25.232410105387256, 16.97084351446327]",0
67,"[27.14082229189446, 22.98025345962837]",0
68,"[27.25829079938789, 23.41891281907103]",0
69,"[27.718292183841683, 26.945241866807066]",0
70,"[27.817928428805104, 27.665876728930716]",0
71,"[27.749836198350113, 28.74039430803527]",0
72,"[27.79311463022192, 29.78464348892986]",0
73,"[28.891871368235357, 31.974151896423365]",0
74,"[28.81544247878241, 32.64311694605882]",0
75,"[29.147767190696626, 32.89821957468093]",0
76,"[29.367846854826823, 33.12783110865101]",0
77,"[29.70368772009094, 33.65308485231662]",0
