,embedding,model
126,"[-6.778544150265123, -2.662092981945729]",2
127,"[11.998902109671322, -9.464017811809248]",2
128,"[-3.2891056911801018, -3.5583194874485566]",2
129,"[13.223285354909939, -8.585396575271144]",2
130,"[-1.9189401855929966, 9.094664343745759]",2
131,"[-3.485033184533392, 11.626514637483027]",2
132,"[14.148353421817745, -3.6513370566300924]",2
133,"[8.894923414963605, -10.629321950710809]",2
134,"[1.0235287296466378, -9.86858869777434]",2
135,"[-12.195762236206717, -1.0567932559161628]",2
136,"[-2.4454307546506007, 0.5408940481822712]",2
137,"[-12.987011628907997, -0.9864791892011191]",2
138,"[-2.644284659583385, -0.06432250542493388]",2
139,"[-13.645488281283441, 6.910300117279285]",2
140,"[-1.3844479622272032, 9.535730991886512]",2
141,"[14.030275996897663, -4.3658020130548545]",2
142,"[11.572329323883947, -11.187970487968837]",2
143,"[-6.548655468916315, 8.847888835490828]",2
144,"[-7.24832866559965, 12.331946777418816]",2
145,"[13.810957035094717, -3.407610852306231]",2
146,"[-8.916661321590228, 4.963719819721275]",2
147,"[-0.8858814056805966, 8.962426398809122]",2
148,"[13.747001344579521, -4.285109519740056]",2
149,"[-7.914117841808425, 7.15568623734654]",2
150,"[4.54175911804944, 10.740635943523921]",3
151,"[7.882890378304484, 0.4852240479496026]",3
152,"[-8.211460729681074, 11.261466244926632]",3
153,"[-1.8342955502443148, -7.010283295900071]",3
154,"[-10.190303958078905, 4.721238530594769]",3
155,"[-11.009554863397792, 9.207370716564778]",3
156,"[-9.859664196255727, -3.1995458601104447]",3
157,"[-12.138667639217035, 7.281407964138087]",3
158,"[-8.64848104578499, -1.8497911926791184]",3
159,"[-12.560880724622324, 6.8495295813927015]",3
160,"[-10.554842236258162, 5.318284308246796]",3
161,"[7.1460880723145035, 4.8569029608985765]",3
162,"[9.067210906182236, -0.9949256623090872]",3
163,"[-3.6071630481477577, -9.386590490327947]",3
164,"[-9.889682582374977, 6.032616026859502]",3
165,"[3.656835929582868, 9.494135344980272]",3
166,"[6.215310247489428, -0.3760132383718734]",3
167,"[-8.896018226912027, 10.623465306460375]",3
168,"[-4.400028882342117, -0.4691505223263647]",3
169,"[-11.930507806266325, 8.8266725730988]",3
170,"[-0.014365538723197945, -9.816751653501372]",3
171,"[-13.312108128527322, 6.270472262263693]",3
172,"[0.2771236473691047, 7.370640859154939]",3
173,"[3.5239785419222542, -8.120790605947036]",3
174,"[8.074039602279829, -5.549008027666686]",3
175,"[8.109095037589887, 1.1719051383296453]",3
176,"[8.421995155460047, -4.874040992203006]",3
177,"[7.657315253701299, 3.3064184486607857]",3
178,"[-4.467744551395011, 0.6261014770625686]",3
179,"[-9.888894868535564, -1.6065032206318888]",3
180,"[-9.696074573560747, -3.2875602340852397]",3
181,"[-7.341865735654489, -1.4775129751051645]",3
182,"[-3.1432401298226003, -9.14119321875421]",3
183,"[3.0149952384761045, -9.087853415351269]",3
184,"[6.43514884518602, -5.451212260473709]",3
185,"[8.456926383542676, -6.624645803129104]",3
186,"[9.25223528204106, 5.490700722175517]",3
187,"[9.221010690681757, -0.2909172022667785]",3
188,"[5.927949062176769, 8.881561867430305]",3
189,"[8.543970324587093, -0.8138045117852006]",3
190,"[4.3837693301825125, 11.114747493221495]",3
191,"[3.1218348201415056, 0.06263609521306766]",3
192,"[-5.2539102182419795, 5.008846284601139]",3
193,"[-5.000049115180902, 0.6160593080937264]",3
194,"[-9.637400335403898, -2.6523562391327973]",3
195,"[-12.513902978074983, 8.082880861742822]",3
196,"[-9.870227750259062, -1.3935197927515837]",3
197,"[-10.799748852182033, 6.719119825186905]",3
198,"[-9.29258815973564, -1.9175947438946166]",3
199,"[-11.505422629441187, 7.590363985708421]",3
200,"[14.57423592257254, -4.028991342264559]",4
201,"[7.478231132106389, -12.800259623230913]",4
202,"[-6.502347504592238, -5.505913012944695]",4
203,"[-13.053625679879188, 7.071068101299697]",4
204,"[-6.941265910709947, -8.13756358649527]",4
205,"[-0.6665945895524306, -8.359715276879728]",4
206,"[0.3313980387175502, -10.282581339838465]",4
207,"[10.29828616210748, -3.8058866490932797]",4
208,"[4.268062913171718, -4.656905327085201]",4
209,"[10.372758291120748, -2.6357919159611156]",4
210,"[10.60478470885616, -2.8475039283332464]",4
211,"[6.898478485665545, 1.2321056310342773]",4
212,"[5.116113220947591, -1.1916265969321849]",4
213,"[8.061969212442003, -1.7642734379102591]",4
214,"[6.992330954605663, -1.0719104477932342]",4
215,"[6.581721094986972, -1.1129992647493216]",4
216,"[5.190309730865076, -0.656100634640867]",4
217,"[4.37009130425919, -1.1440516090442443]",4
218,"[4.053744490208784, -3.3076490003415673]",4
219,"[6.07263828413027, -6.0375489518687555]",4
220,"[1.396171072189176, 0.15452123357110542]",4
221,"[0.5944798038024459, 0.4742642153721665]",4
222,"[2.0113301711181384, -9.577947389235435]",4
223,"[3.6768104546040536, -2.7221793016878952]",4
224,"[-4.205799925184281, 11.578182641686114]",4
225,"[6.302422859670101, -7.168473496988991]",4
226,"[2.249926018350603, 8.376657717452552]",4
227,"[-0.4480371514453721, -7.400090859761748]",4
228,"[4.861702274311185, -2.501740839932678]",4
229,"[9.531467562774212, -6.612930076376084]",4
230,"[-10.048297498631525, -5.701147429145241]",4
231,"[-4.958299078786847, -6.985783564659371]",4
232,"[-6.812609475925467, 6.304777758622961]",4
233,"[-2.482988435387368, -3.172443376185864]",4
234,"[2.012835268501784, 13.179503570041108]",4
235,"[-2.2966517928039316, -0.9431799940087561]",4
236,"[-8.2595829079523, 7.670484994005928]",4
237,"[-3.8984202429397827, 0.4267990320516089]",4
238,"[3.769234644245623, -4.017556611471646]",4
239,"[-8.044412667241593, 10.158063851855118]",4
240,"[-2.2517192191991495, -9.000216835522483]",4
241,"[-6.398628286980873, 11.345847548577572]",4
242,"[0.305932620805291, -10.380608420553033]",4
243,"[10.38658532966493, -0.873968222985796]",4
244,"[-9.443789644793803, -4.820667208742733]",4
245,"[-9.36277954168572, -6.590643121275838]",4
246,"[4.893093066319191, -6.251801745998626]",4
247,"[9.8931658109107, -10.965777839450638]",4
248,"[2.9702782874421225, -1.8144952771357363]",4
249,"[-1.7899668220193177, -9.355477909158385]",4
