,embedding,model
0,"[-1.9113985134013187, -6.23697841108619]",0
1,"[-13.02643282989844, -7.865189855800923]",0
2,"[-9.197036615654621, -1.0193353337719955]",0
3,"[-8.831136504292372, -0.38563874434238077]",0
4,"[10.451435292905819, 1.8862890283992992]",0
5,"[-13.004929756557223, -7.892186885259686]",0
6,"[-8.21287749358661, 0.26752329051071566]",0
7,"[-2.3650733519880087, -7.653571783721833]",0
8,"[-2.518539514449595, 14.165098005558075]",0
9,"[-7.0647922975669575, -9.897462622440242]",0
10,"[-8.682228596702098, -9.928437531172728]",0
11,"[-8.193637239813897, -10.496998836134868]",0
12,"[-5.100573636359056, -4.369231154660845]",0
13,"[-1.581396101508997, 16.316955400322765]",0
14,"[-4.657127786983994, -4.09028377071268]",0
15,"[-8.035072897268275, -10.116338214383473]",0
16,"[-1.6129667445817935, 15.657836922942764]",0
17,"[-7.083193306642664, -11.00464782182157]",0
18,"[-1.64081612731057, 15.661011604105092]",0
19,"[-7.294561412419151, -10.846135053364279]",0
20,"[-1.926010347990788, 15.209576174588193]",0
21,"[-7.4764089306041175, -10.156723992689196]",0
22,"[-4.447778978734948, -4.584782759556156]",0
23,"[-7.849310256438766, -9.495289157764185]",0
24,"[-1.9788087374818573, 15.042659315259936]",0
25,"[-7.6437436951130655, -9.408629252267746]",0
26,"[-5.257695923493011, -6.7615813690614965]",0
27,"[-4.835398481810223, -5.721221265592899]",0
28,"[-5.838635131447673, -6.656067360801856]",0
29,"[-5.029665891909294, -5.945655020779066]",0
30,"[-5.37884586700886, -6.266416800766525]",0
31,"[-5.783615193171003, -5.940957448640691]",0
32,"[-5.766994311683457, -5.702713084534273]",0
33,"[-5.441082957442737, -5.317099586690478]",0
34,"[2.0140528386425687, 6.142244739500883]",0
35,"[-0.155015426254983, -2.8791679053634383]",0
36,"[-0.18431021217161014, -3.1898566425448664]",0
37,"[3.9353456078257847, 0.09874437727337017]",0
38,"[-4.86313732226864, 7.048635459487794]",0
39,"[2.6597714232414953, -8.342332888578376]",0
40,"[8.422486165034753, -6.41896652928437]",0
41,"[3.950122153090673, -10.499568609706275]",0
42,"[-5.387262040835159, 8.34936397492339]",0
43,"[-5.268774624159872, -0.4665536027089904]",0
44,"[8.11422365867768, -6.329479783113437]",0
45,"[9.150973919309664, -10.233887589198257]",0
46,"[-4.812356835498406, 1.8939264170188204]",0
47,"[3.7162954826822245, -11.847027565487148]",0
48,"[-5.0888550804349695, 7.320699740629882]",0
49,"[9.291571735229242, -9.344619352095581]",0
50,"[-5.609218183081503, 10.161591366940455]",1
51,"[-5.346587945625771, 11.144612521851354]",1
52,"[6.407878359196904, 8.562595126898016]",1
53,"[-7.433529236989352, 8.35902617700277]",1
54,"[-6.760577789665811, 10.201795613186434]",1
55,"[4.76362316830885, 12.528497038719145]",1
56,"[-4.3978786469502715, -2.2123300253970815]",1
57,"[-7.271333892028395, 9.881104731537782]",1
58,"[3.452862673089905, 8.899950342379192]",1
59,"[-7.0489664145479844, 10.059665720630338]",1
60,"[4.146595265076843, 13.727468728506178]",1
61,"[-1.4347600403569427, 10.051057421739483]",1
62,"[-0.053169237001493244, 9.670928022686509]",1
63,"[-2.757155484638479, -2.345951490987464]",1
64,"[-3.100015101424579, -2.7909104222523586]",1
65,"[-0.7019507943649944, 7.295127672181198]",1
66,"[0.949867554896776, 10.09870155355195]",1
67,"[-1.4463888259484015, -2.7921228617472376]",1
68,"[0.2812129559905539, 9.950895692497392]",1
69,"[0.9083831698392916, 11.849044610957971]",1
70,"[1.5838351821989876, 9.544632439570039]",1
71,"[2.1849957938044535, 11.945302026624478]",1
72,"[2.7600337587559127, 8.679964143928082]",1
73,"[2.7762673214573956, 12.296054555713633]",1
74,"[3.312703610885296, 8.306342277871865]",1
75,"[3.016492480230649, 11.951525384427852]",1
76,"[3.171042116800311, 8.041671928897758]",1
77,"[2.734084586752493, 11.616034669784536]",1
78,"[2.7481738619199922, 7.832091148744195]",1
79,"[2.5052826921819658, 11.19482685217835]",1
80,"[2.3689162041586775, 7.647592996936541]",1
81,"[2.914606356405653, 10.647198063537214]",1
82,"[1.7259250761870744, 7.621898730438984]",1
83,"[3.280914864853655, 10.811337067194463]",1
84,"[-5.442261560003805, 9.851106527945586]",1
85,"[-6.216891831283943, 10.855222910926615]",1
86,"[4.172069287451505, 13.758145258983443]",1
87,"[1.0427532211252601, 5.93876564036871]",1
88,"[-3.2100468854994286, -2.089551745718022]",1
89,"[-2.1157247274842477, 10.54639636078801]",1
90,"[0.6006135535330619, 12.51179873855896]",1
91,"[1.2211661907131235, 12.773903490100519]",1
92,"[1.4263003011644264, 12.282893586435216]",1
93,"[1.785012402524988, 11.557086518131609]",1
94,"[2.526990945193446, 13.25523504952916]",1
95,"[2.5660598222738886, 9.725362403042876]",1
96,"[1.7101362063411754, 13.105340937970618]",1
97,"[2.141197887699366, 8.94395085557322]",1
98,"[2.0811850698281287, 12.72567140153453]",1
99,"[1.8456998930588684, 10.517137493945645]",1
100,"[-7.555953343895684, -0.8042058346509354]",2
101,"[-8.778766078168642, 7.691487493812815]",2
102,"[-11.393076276965632, -9.452039030677847]",2
103,"[-5.277480138482949, 2.584565336562286]",2
104,"[-8.830627805131853, 8.627811663957123]",2
105,"[-12.814197633204492, -9.2195547532907]",2
106,"[-7.170164005922129, 1.7698078073274968]",2
107,"[-8.812969324414482, 7.992503271261702]",2
108,"[-12.304245169822776, -9.781020979045417]",2
109,"[3.76850674243299, 5.571550712056251]",2
110,"[-5.162575460106138, 2.4703064124769485]",2
111,"[-8.06472531619237, 9.718450161646789]",2
112,"[-12.789831914571112, -10.292358518523615]",2
113,"[-6.561184512542422, 0.10931766684199602]",2
114,"[-7.158260963221053, 2.658909214863788]",2
115,"[-5.704253693162646, 9.219952391890082]",2
116,"[-12.173002481270776, -10.331596865514218]",2
117,"[-7.093275354821615, -0.052718784999206625]",2
118,"[-6.509609570242603, -0.7427829760422241]",2
119,"[-6.848749004608244, 9.037210044064086]",2
120,"[-12.94306218358114, -9.887018499174841]",2
121,"[-5.5606278112114405, -3.603194045463778]",2
122,"[-1.3045697632805149, 3.4052426285289212]",2
123,"[-5.198047739351469, 2.5850881951334346]",2
124,"[4.265522650344728, -12.652600918305552]",2
125,"[-0.0348225885854896, 6.394664128420881]",2
126,"[-9.509053308214332, -8.32147308350172]",2
127,"[-10.558672519114456, -9.952759445672415]",2
128,"[0.5666258774964881, 6.879877240747958]",2
129,"[-11.385037660924285, -11.068085009068866]",2
130,"[3.269905618231872, 7.329895532166006]",2
131,"[-10.961059268535594, -11.211121825602993]",2
132,"[3.7262390263859833, 6.880549231437592]",2
133,"[-10.448463474453874, -11.343683905255588]",2
134,"[4.171709584342592, 7.117208909641243]",2
135,"[-10.594594908808782, -10.518684675301875]",2
136,"[3.217335341417371, 6.2707237821597825]",2
137,"[-9.876308022953678, -10.970828795300113]",2
138,"[3.004370162580376, 6.316477009768559]",2
139,"[-10.049210316597636, -10.554271549254308]",2
140,"[2.6287979142709177, 5.747692685347746]",2
141,"[-9.7965169046473, -10.300164475515025]",2
142,"[2.3622315508667997, 5.241667759026807]",2
143,"[-9.75200858860072, -9.8231898786204]",2
144,"[1.8629897573870353, 5.033535343092696]",2
145,"[-9.795661672337266, -9.491930727032942]",2
146,"[1.6978652037469122, 5.346567551508785]",2
147,"[-10.153640042356106, -9.280182447213129]",2
148,"[1.7751150700535414, 5.587627415382102]",2
149,"[-10.394382341701855, -9.403855288142017]",2
150,"[7.2058993110190555, 4.060376915437651]",3
151,"[0.7916070289798022, -11.342232555840248]",3
152,"[3.5697270908985232, -11.367383299183695]",3
153,"[2.61446290373472, -11.03965011332393]",3
154,"[2.695289275510477, -10.327776062747835]",3
155,"[4.71127858116896, -10.063820325488589]",3
156,"[3.258609332868379, -9.42433972935925]",3
157,"[8.129001096201444, 7.416154545388176]",3
158,"[7.956251658452547, -0.6414704613344887]",3
159,"[9.162221465995724, 5.231297412439897]",3
160,"[0.11090098638533676, 2.3512220855157158]",3
161,"[-0.3958567418967922, 2.7560762577369133]",3
162,"[-6.786034316303159, 1.027279484415607]",3
163,"[-6.893869866876416, 1.1609432345733808]",3
164,"[-0.6405337660597965, 4.442042858031243]",3
165,"[-4.1737398717216205, -2.504238481679335]",3
166,"[-3.4584073003757565, -5.9533056757250655]",3
167,"[-0.351435665222776, -10.527457476747529]",3
168,"[1.7302927788143443, -10.087775654018882]",3
169,"[6.898301751353283, -4.124389967918193]",3
170,"[-0.5506631568741144, -10.454070574863765]",3
171,"[7.752085948520389, -3.9837723545041963]",3
172,"[8.777893036957188, 5.486610263299504]",3
173,"[0.1105932876117641, 1.8817823423114433]",3
174,"[7.418483003285694, 5.050271941807167]",3
175,"[7.0596747403551765, 2.8952293825402657]",3
176,"[-2.4957727370276763, -6.7048076760362845]",3
177,"[4.518012675382673, 0.9008333926386839]",3
178,"[-0.33965775244529234, -10.929297144256239]",3
179,"[2.8567242177300995, -6.235101774367485]",3
180,"[8.737577615168716, 5.012547352137307]",3
181,"[-0.11630102034536093, -11.18899807826342]",3
182,"[8.828503269470218, 5.936582010806696]",3
183,"[-6.542929880045171, 8.194447827013391]",3
184,"[6.70097970590384, 4.492855297296259]",3
185,"[-0.4766669207080469, -7.999145088136039]",3
186,"[1.388340327285269, -9.089411066543926]",3
187,"[-7.119170922132263, 8.721729907266807]",3
188,"[3.9753427116017988, 1.189335410225421]",3
