,embedding,model
0,"[-20.323772039164865, 10.018601360355749]",0
1,"[-2.0054440584788114, -21.215574479013906]",0
2,"[-3.7888592848521583, -15.428470300532858]",0
3,"[-6.293725822264137, -14.359936026346249]",0
4,"[-4.398449034062925, -15.65992170580519]",0
5,"[-3.277990990871647, -1.9142836492647493]",0
6,"[4.926242479799391, 3.597160716867488]",0
7,"[-26.71213299763239, 6.0680440073711175]",0
8,"[5.543538385450011, 1.1037661036948194]",0
9,"[-31.116288435227457, 9.62624872451664]",0
10,"[-30.054432582944028, 10.97525582619391]",0
11,"[-7.38977905045193, 14.564478913831305]",0
12,"[-7.3449288161469175, 14.570330062350827]",0
13,"[2.1377232314784047, 28.46943829155959]",0
14,"[-5.636693387536892, -9.743155365677321]",0
15,"[2.2222700490188245, -24.19987491358147]",0
16,"[-5.464795796516091, -0.6081000844327046]",0
17,"[19.006303740920337, 1.5541068359923427]",0
18,"[-32.40230227418729, 11.324242046611532]",0
19,"[-6.675002905695543, -0.8355293136415011]",0
20,"[18.96115745810509, 1.3771752519852156]",0
21,"[-32.303480176644314, 11.338680128992424]",0
22,"[1.3716428177821736, -25.156229056707346]",0
23,"[-5.387507660419819, -0.8106391301893776]",0
24,"[-6.797569940343463, -0.7709664704631967]",0
25,"[1.1547039923499935, -25.836404519241288]",0
26,"[-25.424697916098193, 4.331914273396914]",0
27,"[9.909028238849311, 3.765502078217835]",0
28,"[15.395862571744598, 1.9250134321585615]",0
29,"[-32.14198822419329, 13.386866168991961]",0
30,"[10.563406339115652, -29.913148864215014]",0
31,"[9.829238642280242, -14.949973184560244]",0
32,"[11.444321471266734, -27.114539409726095]",0
33,"[23.198819228060124, 1.4723291552528532]",0
34,"[-32.329507829821594, 11.561824870355938]",0
35,"[18.729603256985794, 2.4660704243693368]",0
36,"[-29.299282796204484, 12.462667338205097]",0
37,"[-9.831499400536167, 1.3431697166696541]",0
38,"[17.393203780596185, 1.285702978998429]",0
39,"[22.159680013931876, 3.2016644258162574]",0
40,"[-30.969298367359514, 12.214633424271916]",0
41,"[-10.563779971861369, -1.2100423953213928]",0
42,"[-3.3270262345294364, 1.6289894071827924]",0
43,"[-3.898805728874459, 0.09087648117299492]",0
44,"[-24.55096810361415, 4.926737167080184]",0
45,"[-11.294218371859513, 7.043927673104461]",0
46,"[12.030245106360455, 6.136667816535075]",0
47,"[-21.38892542591542, 14.881613096307946]",0
48,"[18.028332713598797, 3.5861137396485208]",0
49,"[-29.907147942121835, 11.648343746252285]",0
50,"[-4.086981027156697, 1.2129391543577588]",0
51,"[-3.20629360124303, 0.2831609089163329]",0
52,"[-3.359467135269478, -0.11046160823276543]",0
53,"[-3.8711295139553177, 0.29437743929562665]",0
54,"[10.019903836948743, 4.194795420940353]",0
55,"[-24.414467075173633, 5.125336849280032]",0
56,"[-12.785385317272342, 8.018294325639362]",0
57,"[20.20826960537849, 7.965418478857102]",0
58,"[18.244882111916592, 6.837513230267932]",0
59,"[16.75775365771051, 6.0982057779805805]",0
60,"[-30.55496690565191, 14.35595721332788]",0
61,"[20.02716953373099, 8.11339418296755]",0
62,"[25.958603283918684, 5.262442962981152]",0
63,"[-28.288662995533855, 12.029199398212883]",0
64,"[14.122207539017037, 8.648255420925487]",0
65,"[15.233074672565548, 8.775831797226875]",0
66,"[14.443596477742204, 8.585696983339536]",0
67,"[15.344669271021207, 8.777559682985569]",0
68,"[15.750502817695573, 8.924733671787546]",0
69,"[37.26432152639946, 17.67266003639769]",0
70,"[37.77530802381023, 17.72715954466718]",0
71,"[38.35854050181002, 17.635577197696826]",0
72,"[38.780609800465214, 17.554917823058965]",0
73,"[39.141958544959806, 17.496862502771258]",0
74,"[39.363594675660764, 17.308993703566856]",0
75,"[39.958620152613165, 17.28998129254854]",0
76,"[40.8956743347694, 17.41466240168355]",0
77,"[41.75260355976628, 17.27108603048913]",0
78,"[42.48706435109436, 17.35030126703622]",0
79,"[43.32872769651977, 17.675636085376247]",0
80,"[43.043597833619955, 16.61598994115466]",0
81,"[45.04627322938888, 14.922707629485414]",0
82,"[46.19212803515909, 12.877853214079778]",0
