param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9,primitive 10,primitive 11,primitive 12,primitive 13,primitive 14,primitive 15,primitive 16,primitive 17,primitive 18,primitive 19,primitive 20,primitive 21,primitive 22,primitive 23,primitive 24,primitive 25,primitive 26,primitive 27,primitive 28,primitive 29
0.5,767.8717653945371,1431.6135578350663,971.9527269235747,682.0682417317128,1049.0043013946977,1129.59356162603,356.28174551161663,1015.394913088551,1121.6887055343243,676.3867639403493,596.1943608623662,1002.2347462879488,110.23138959781352,338.5450985706154,983.9886992139676,765.4092996502426,326.4641274595899,436.0585757391203,994.2135412324026,296.9784437287245,833.7167994853729,2321.361688526875,1000.8053793909748,338.6464572847681,378.29236514142053,833.0402528143444,1030.6585348365704,1039.7270553053925,363.9257162441494,506.0665223963703
0.6,762.8879519087284,1427.1564196849322,971.9286538235225,840.0568662520133,1049.1497453288034,1143.5950000426178,353.7663076124671,1015.4609684566583,1107.804974399875,663.4838075989076,580.7956879850071,1002.1677035086461,110.78869337926713,337.8785455684015,983.8157690443871,776.3254695116997,322.67636872540794,422.98216221442453,994.1403744803058,298.74408903169035,780.2215647971094,1320.8105836811253,1001.327533751302,339.90831214511803,390.03251543222007,891.7779516203366,1030.3004419169783,1039.9744681708214,369.64237341344995,518.3482787541437
0.7,809.1253929216343,1413.6713596460813,971.877507275248,826.90524446436,1049.3442235199745,1166.0052323250618,349.7162996887308,1015.2849960051956,1046.7956231208666,657.8161658050379,554.8839855163719,1002.1490135944862,112.0897842857722,337.67609603017297,984.5040420405998,776.4398446185351,322.60811046840746,421.31819262127794,994.0353467872334,299.160580270565,833.6224626137118,1568.9370400162209,1001.7232859557635,341.9616842925348,386.81591314323686,418.6028377701382,1030.509918394931,1040.5920942062405,379.2482745110709,634.5149906639198
0.8,803.1253939653561,1390.9744411786014,971.7519694992312,817.784522743463,1049.4820797057037,1085.9005504058691,348.34190464243386,1015.6067852772667,1046.572971231832,652.2921449260917,473.1966474504302,1001.998202472049,111.86085249862026,337.43311968261946,984.4054988334732,760.702302751062,322.31168586846115,440.4169295140142,993.9219273539504,298.1577851585837,662.3828967317334,1923.3605264285034,1001.8114136224287,343.5283623364877,380.5330679483236,415.0698766950521,1030.4886937766175,1040.532872327104,403.0581631734002,703.0045115712403
0.9,852.74635496277,1367.0395418308487,972.0821409056203,814.4025906915982,1049.38911324859,1050.1111993577945,347.1661655252377,1015.4735638973959,1046.5840296387457,646.9869035161594,455.40812284527146,1002.011462471329,112.39623828945521,337.6235591597627,984.6803254226685,542.376776842467,321.89029413551464,454.0379653763105,994.2357500607877,296.03327024611553,626.3605226058289,2411.3180344941065,1002.2271745142086,345.5106215295599,374.14216188680666,408.7266822486401,1030.6936462218753,1040.8704079696874,654.3291019387775,723.0677394370591
1.0,918.0741571006718,1352.3912439997962,972.1151215592612,808.573958228121,1049.662514785265,1050.6301898251909,346.2880693759335,1015.3540213597313,1046.7549690976682,643.2698681102105,509.77528345844974,1001.9142456088854,112.71985897784748,337.09824798367816,984.7533930747177,373.51176508657267,320.3923695941012,463.5312492178103,994.385208273227,294.06367192237013,637.6979597548825,2473.1345660873244,1002.2923201616411,346.9680267947659,373.3947702738308,403.584761529699,1030.4236126026244,1040.9227505484018,1029.5045971927489,662.2315635808895
1.1,1022.0442556128382,1342.0891952460734,971.9362608946024,792.946819946687,1049.4400983955984,1050.3598177662202,347.2803788251961,1015.6620730835006,1046.575838043341,640.1700842488533,557.1874358842152,1001.9125811409161,113.3235840287945,337.102529565529,984.664506684018,488.7331143583127,318.64272844173985,468.7208631094145,994.0175849614512,291.71670453015395,593.9881837039777,2406.3148622331973,1002.726662041406,349.71624126775765,373.2884731214687,396.50823658318245,1030.6817156081734,1041.026733002535,1029.36049875121,547.8848362486908
1.2,1067.7195019265969,1304.262029877298,972.0672768801802,779.3354887567073,1049.9494012848547,1050.3690547703047,347.49942507228224,1015.5424699092713,1046.3006384913892,638.420505381673,595.0637095459535,1001.9394425985508,113.93076538286917,337.01876127023303,984.8275163264336,507.8176949627494,318.0374188612794,465.40913118930075,994.2507565583089,290.59206379779056,577.3725274241231,2340.5726407923885,1002.6977189297137,352.6828907996502,370.9423599321538,456.70678101073963,1030.5753086497898,1041.0876474281054,1029.5830548627916,527.1915673451794
1.3,1068.066532817791,1055.3756487242317,972.0225706914692,761.1512014791324,1049.553861659379,1050.1912085017334,350.28780842180413,1015.4564155079622,1046.9437095597684,638.7784243303233,591.5060219332036,1002.12496639317,114.16865053103595,337.2697448994878,984.749920930831,491.59961157439784,316.02542611805836,464.9727615107096,994.2706542181068,288.785146659022,580.7990076076368,2293.015527521994,1002.860592026272,356.1726270903743,368.858400745368,536.9518994604412,1030.5688448076185,1041.425150926625,1029.5473291882593,442.9356479285043
1.4,1067.8975573583293,1055.1982400437832,972.0797565361587,757.0596384120724,1049.6319522096696,1050.2399573757164,352.6272204896304,1015.3988401322565,1046.6675447763632,638.1614595553162,614.8135699587849,1002.0448420371629,113.7885050888464,341.29647035030524,984.9174492498187,425.6493524310746,314.254836262313,457.7263144620836,994.3333663074188,286.94427109175007,582.9931512511097,2260.765051078654,1002.8114872172744,359.65658745184544,368.9699440163153,480.4000795382314,1030.3877362895819,1041.3383704044838,1029.732161841786,427.59195902029114
