param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9,primitive 10,primitive 11,primitive 12,primitive 13,primitive 14,primitive 15,primitive 16,primitive 17,primitive 18,primitive 19,primitive 20,primitive 21,primitive 22,primitive 23,primitive 24,primitive 25,primitive 26,primitive 27,primitive 28,primitive 29
0.5,977.2061216600596,1446.6556741708855,377.8980018078803,1030.474695467353,986.9395757126438,562.373977038565,304.79963583799446,2254.48292738105,787.7896783152149,472.72459880308736,583.3060674398776,744.0780582241671,1012.1813183118078,951.1487854218276,950.438391127368,456.70014935888423,596.1288242918702,502.31550965415835,1050.624353995021,455.09573684277814,2900.49739892486,999.182985494646,621.4157186959662,375.8490565619599,1011.2725124627625,462.28985082750285,426.27940807995685,771.3958530873581,807.8103758679761,1024.8911872859437
0.6,1089.7898428995845,1396.1099312326037,492.45578474947615,1030.865591068067,987.1315411803358,605.9759741848119,317.88375503824176,2291.9808872868084,788.3995729335018,405.26973011830984,597.7866456720022,725.7472708374662,967.6465971512762,915.9862924983081,924.3593000277651,463.29174525610813,750.5622140961669,522.2545283105444,1050.9375839792813,480.843384827737,2913.1242601879844,1000.040729578991,559.8069089849968,362.8744945344209,1011.218232435169,545.082936688328,422.87798332482305,749.9723921697438,603.4253745035041,1024.9722768696024
0.7,858.5177946737897,1331.3361389505094,306.5104564813683,1030.9292262078027,986.822728127738,529.1874747404926,316.9789952699913,2418.006365211434,839.6572178168697,564.8364914276187,634.5311496434108,778.1785876835679,1011.7426794324467,917.6397165754233,720.0570044360868,459.94834606479424,1001.2502046107022,548.2686908678357,936.9682734384791,447.44827099879086,2925.6671290637632,1114.344279714142,548.4425832621416,476.278675879154,1011.2044203344074,406.8637487009932,418.41997083528406,763.08235578301,457.0464325981774,1024.8648769448332
0.8,950.0344519940649,1288.4026186847166,420.88745475431216,1030.8647635967102,989.5272364316679,574.9104221976911,338.11700304015784,2349.790025433858,946.3134769009636,465.4940679423282,641.8975646025809,651.3511571884663,925.9352215993728,899.4846462744493,901.8942917287668,469.5647539304144,998.9495901720832,714.0391734522468,948.1868883054509,479.0721961823918,2939.959730799563,791.410009257653,565.805534435976,417.2242750281045,1011.1354221641297,450.18505270464465,408.26426337138724,699.5160000073328,569.256492046072,1025.1741065964175
0.9,951.5758410745564,1063.482863247747,743.2429055459868,1031.1632552626324,993.2804947214133,521.8489569853813,331.8827459745297,1097.9014678384506,993.4185968681106,415.24943269313934,722.0603636304569,623.4129030380187,1011.5677987753885,798.0362123432094,954.9192105772506,483.37341467649424,998.1862557727889,721.0458953061882,778.8808286572457,544.7951201030611,2586.6579243566503,691.1697108513417,562.2188534417334,342.98640911330887,1011.0241097453011,448.52282618112366,394.1317155985572,696.0742376176426,733.3151975053994,1024.7539436519185
1.0,953.0612154389412,986.8785676551408,1000.1569812011755,1030.794644519445,991.9015294760117,514.4183233783789,330.5860277347751,865.1236470607988,874.3275011931516,493.50420614210026,662.9105656865743,578.2556619580217,971.5328380557651,720.6331572061441,1118.5635530815991,537.8749292663789,640.7169214475364,719.0923674964299,814.8884327967107,539.2747682020038,3192.2048490122734,658.7627714446933,516.9842450256598,392.44394270044955,1011.1077804590626,548.7407562172566,394.93756450451855,699.1199361224855,789.5638318731432,1025.2548279220405
1.1,1000.9584229456057,912.4277274289436,1000.2863891063238,1030.993886729323,992.3906522443725,504.26351570431143,352.20313911575846,897.3749955868873,918.3751381970445,539.2938556483289,610.3148821160346,577.8777444683551,925.7778122130636,673.3303258218334,1084.8068916065397,449.2259034801277,522.5032111266352,727.0629789584661,616.5208499964926,444.65641071903445,1228.9166196465155,622.6038094349553,719.1049838731284,598.8742269048753,1011.3102972376398,456.3618595845388,389.2556318373287,679.0104028591061,353.77521096104226,1025.5037172507198
1.2,1971.0952368162489,989.8165457242528,1000.2828776458379,1030.920162585694,984.9156785804382,488.75848626381566,359.06956252879075,698.0089401486325,910.2542600323847,609.7944987102896,785.4551612843877,639.6066316229706,1011.6865499843228,640.2596657786022,586.2523499400065,436.69768801513476,128.23174664826644,697.0448434443881,608.2146657640824,447.2400719951953,1033.0109509324145,587.7903630283139,513.5882322400587,446.10828170221214,1011.1759792359005,381.38260078958467,357.2088065190272,629.7185032950812,647.032038282907,1026.379944225525
1.3,1158.0494382692896,1164.0328245090898,999.2879534353535,1030.8773907208754,2595.83536959496,481.53084957206363,336.5209019783487,732.9599760629214,1187.053333695044,1058.0670831190243,660.5142413907324,585.0053970054311,967.3112913517459,599.4761013498554,574.270832186998,422.8198319169088,88.75313064599678,627.9301101837406,590.9116075179115,472.58976840066254,842.5972992484803,557.6468583188129,517.6606249769233,344.8257411645231,1011.1879638024282,405.9504134662321,345.35764861836185,619.4292612137128,555.0076810027929,1027.0667573649264
1.4,1076.4828356280973,1090.5249635659525,998.1708862693285,1030.6261867536346,2786.5912010667726,470.42099817898725,361.71890932154463,1518.9252684697194,647.4957723831336,979.916139348689,662.5043333231736,610.5729419539582,934.1359353043645,604.8456049261238,551.8256142895466,417.45124186405076,77.13885168765877,485.9456273087015,571.6608860234443,544.6467671009991,712.7523260325827,524.9634524054233,447.79145825005924,345.6699069795874,1011.1987717211999,492.8417804330629,391.26511181240136,617.5167167957056,521.9377744579713,1028.2161692925524
